2026-07-11 10:38:36,044 | INFO | chunker.py | Page 136 has 195 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 137 has 210 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 138 has 204 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 139 has 219 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 140 has 221 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 141 has 204 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 142 has 179 tokens
2026-07-11 10:38:36,044 | INFO | chunker.py | Page 143 has 187 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 144 has 186 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 145 has 183 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 146 has 135 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 148 has 186 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 149 has 208 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 150 has 210 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 151 has 208 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 152 has 212 tokens
2026-07-11 10:38:36,052 | INFO | chunker.py | Page 153 has 214 tokens
2026-07-11 10:38:36,059 | INFO | chunker.py | Page 154 has 192 tokens
2026-07-11 10:38:36,059 | INFO | chunker.py | Page 155 has 208 tokens
2026-07-11 10:38:36,059 | INFO | chunker.py | Page 156 has 211 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 157 has 220 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 158 has 202 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 159 has 206 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 160 has 107 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 162 has 215 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 163 has 217 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 164 has 210 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 165 has 234 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 166 has 220 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 167 has 206 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 168 has 208 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 169 has 200 tokens
2026-07-11 10:38:36,061 | INFO | chunker.py | Page 170 has 227 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 171 has 228 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 172 has 209 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 173 has 190 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 174 has 213 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 175 has 186 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 176 has 200 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 177 has 178 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 179 has 194 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 180 has 237 tokens
2026-07-11 10:38:36,069 | INFO | chunker.py | Page 181 has 199 tokens
2026-07-11 10:38:36,075 | INFO | chunker.py | Page 182 has 201 tokens
2026-07-11 10:38:36,076 | INFO | chunker.py | Page 183 has 214 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 184 has 207 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 185 has 222 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 186 has 210 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 187 has 229 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 188 has 195 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 189 has 200 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 190 has 211 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 191 has 211 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 192 has 192 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 193 has 214 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 194 has 220 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 195 has 79 tokens
2026-07-11 10:38:36,077 | INFO | chunker.py | Page 197 has 207 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 198 has 228 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 199 has 205 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 200 has 213 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 201 has 201 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 202 has 175 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 203 has 215 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 204 has 216 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 205 has 207 tokens
2026-07-11 10:38:36,085 | INFO | chunker.py | Page 206 has 221 tokens
2026-07-11 10:38:36,092 | INFO | chunker.py | Page 207 has 217 tokens
2026-07-11 10:38:36,093 | INFO | chunker.py | Page 208 has 114 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 210 has 207 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 211 has 218 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 212 has 230 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 213 has 216 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 214 has 222 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 215 has 207 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 216 has 215 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 217 has 222 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 218 has 223 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 219 has 209 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 220 has 212 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 221 has 200 tokens
2026-07-11 10:38:36,094 | INFO | chunker.py | Page 222 has 200 tokens
